sdss_id,reduced_chi2
54797149,8.1092
55750437,8.1001
55269889,8.1000
55114211,8.0932
54642824,8.0880
55098252,8.0777
54902814,8.0737
54850830,8.0662
55078152,8.0360
56283591,8.0192
54480429,8.0095
56270056,8.0086
54627381,8.0040
56145859,7.9965
55958321,7.9940
56296323,7.9913
54614506,7.9816
54755041,7.9793
54826449,7.9784
55102659,7.9776
56304590,7.9683
56117992,7.9650
55936305,7.9606
56052493,7.9597
55110081,7.9578
55293190,7.9528
55054585,7.9502
54563007,7.9464
55133901,7.9450
55766068,7.9281
55081871,7.9207
55124631,7.9206
54889233,7.9151
55049825,7.8972
54877276,7.8877
54960102,7.8864
54656870,7.8681
54673997,7.8313
55048402,7.8247
55818117,7.8198
55107220,7.8169
54612413,7.8158
54884329,7.8123
54613083,7.8081
55101165,7.8074
56282099,7.8051
54738996,7.8048
54623850,7.8013
56301376,7.7996
54483837,7.7827
56304524,7.7708
54669513,7.7633
54979390,7.7607
55010934,7.7592
55143037,7.7550
54796563,7.7172
54847393,7.7157
55746676,7.7059
55070402,7.7048
56241414,7.7037
54951992,7.6946
54950271,7.6769
55895636,7.6699
55747368,7.6582
54476922,7.6549
55054497,7.6314
54871224,7.6211
55142019,7.6065
55776999,7.5767
54479265,7.5520
55195137,7.5474
55011597,7.5426
54775660,7.5374
56282590,7.5217
55761121,7.5115
55132682,7.4889
56293320,7.4627
54788137,7.4566
54795544,7.4537
54858621,7.4487
54620463,7.4439
55264994,7.4369
54460893,7.4262
55099743,7.4197
54955980,7.4009
55205371,7.3803
56298986,7.3777
55938676,7.3733
55350398,7.3680
54514078,7.3677
54627308,7.3553
54536680,7.3483
54738803,7.3397
56306592,7.3333
55750024,7.3240
54650235,7.2878
55271119,7.2844
54397630,7.2767
54976800,7.2728
55749812,7.2678
55300440,7.2458
54639991,7.2317
54877174,7.2166
55110713,7.2123
54876808,7.1970
55764535,7.1903
55746908,7.1866
55340023,7.1744
54514992,7.1520
55112576,7.1435
55247726,7.1220
55745751,7.1179
55557361,7.1161
56304257,7.1108
54637851,7.1100
56308293,7.1052
55112085,7.0996
54670068,7.0989
55037975,7.0986
55748098,7.0971
54731489,7.0929
54504659,7.0908
55264060,7.0727
55746658,7.0725
54889791,7.0666
54566902,7.0643
54468566,7.0602
55100514,7.0526
55799266,7.0483
55205943,7.0475
55310315,7.0469
54675163,7.0437
54611144,7.0326
54518850,7.0282
54957110,7.0251
56305325,7.0241
55124860,7.0218
56128217,7.0201
54954956,6.9945
54490911,6.9921
55781749,6.9907
54646153,6.9888
55216383,6.9852
55781929,6.9655
54967817,6.9650
54877726,6.9380
54751186,6.9363
54761323,6.9225
55766193,6.9117
54782667,6.9023
54473870,6.8930
55778455,6.8818
55232269,6.8746
54961975,6.8651
56270296,6.8423
55118121,6.8323
55182104,6.8252
55016805,6.8147
55052527,6.8127
55031854,6.7937
56283502,6.7861
55298310,6.7649
56165336,6.7538
55744600,6.7509
55143008,6.7432
54998949,6.7385
55408869,6.7301
54478906,6.7288
55920031,6.7251
54808791,6.7229
55220676,6.7180
54813736,6.7180
55335434,6.7046
55098232,6.7046
54631801,6.7045
56298280,6.6971
54791693,6.6955
54854342,6.6860
56298593,6.6813
54514046,6.6795
54384212,6.6777
54483700,6.6697
54601007,6.6619
54734877,6.6606
54937595,6.6335
54891826,6.6286
54968752,6.6281
55302452,6.6137
55921437,6.6025
55939006,6.5932
54531481,6.5812
54810413,6.5608
55818379,6.5433
54672452,6.5381
55303535,6.5335
54534296,6.5294
54943931,6.5265
54611671,6.5099
55764109,6.5087
56118341,6.5049
55026900,6.5012
55311712,6.4941
54985677,6.4940
55105177,6.4760
56147449,6.4655
55913644,6.4627
