sdss_id,gaia_dr3_source_id,ra,dec
54862932,464474363446935808,43.2907521,59.5162465
54863193,464495116728609152,43.0415610,59.8300177
54863466,464515217176568448,42.7011186,59.6142319
54863544,464521505008404224,42.4884133,59.8377471
54863817,464540982676439808,42.7846331,59.7941315
54863875,464546205356667008,42.7306038,59.9095301
54864510,464594622531038848,43.7124930,60.0241013
54864705,464607610511878528,43.9394626,60.2901443
54864878,464623587791424896,44.6682851,60.4402390
54864888,464624446784884480,44.4960006,60.4683434
54864892,464624927821197824,44.5995068,60.4995617
54864968,464631284372639872,44.3150548,60.4735667
54865005,464634651626989824,44.1940300,60.5114606
54865098,464640694640181120,44.2413399,60.5644915
54865099,464640698944363264,44.2528275,60.5670267
54865106,464641416195830656,44.3828690,60.6381016
54865157,464646265220031488,43.2080941,60.1506144
54865178,464647502170537600,43.4505230,60.2223113
54865481,464665674169280512,43.2401628,60.4666123
54865835,464685229164216192,43.7613596,60.6188957
54865864,464686908488277248,43.8498119,60.6663577
54865916,464693303702609408,44.0068935,60.7549900
54866089,464709968175586304,43.8837425,60.9943880
54866486,464742227666270464,41.7138869,60.1377029
54866727,464760992382523136,42.5380158,60.3877981
54867597,464841565971672064,41.4901524,60.8299901
54867776,464858157421411712,42.9020284,60.5532358
54867912,464870221990404864,42.7934174,60.7778828
54868397,464922998551266432,43.0404115,61.3388765
54870958,465070985941854080,38.0333243,59.5241929
54871224,465084214440972416,38.1499178,59.8060833
54871259,465085726270975360,37.5422752,59.5486873
54871409,465091533066756352,37.5578399,59.7222543
54871520,465096068550702848,37.9835662,59.8378321
54872284,465134104780896256,38.0859094,60.2119887
54873275,465218079982844800,39.0350475,60.3557083
54873767,465258624475987328,39.5507381,60.8460400
54874673,465304426003046144,36.9130651,60.2169775
54875436,465347955492052608,37.6179111,60.7307291
54875586,465355587654615424,36.5648700,60.3147140
54875708,465365929935735936,36.7582653,60.5865004
54875816,465375516296584960,36.6080700,60.5076577
54876148,465408123695224960,36.7676393,60.8768283
54876239,465418019299841024,36.9113163,61.1145450
54876594,465442277270026624,37.6647879,60.8119655
54876660,465445232212649216,37.8296847,60.9882292
54876687,465447083339187456,38.1793242,60.9536693
54876906,465464366292834816,38.8992488,61.1059794
54877124,465480416585595648,38.3338988,61.3695999
54877162,465482959206323072,38.7475652,61.3330974
54877170,465483268443954560,38.8190623,61.3622817
54877184,465484196156879360,38.7103900,61.4046007
54877211,465485776704859520,38.5105355,61.3863512
54877230,465486841856668416,38.4027444,61.4219810
54877276,465488761701835136,38.5814983,61.4981641
54877463,465501341667105024,37.8680753,61.1470261
54877586,465514604525983488,37.0985045,61.2581838
54877726,465525393485832704,38.1259420,61.2968180
54877755,465527042752280704,38.1772556,61.3502355
54877785,465527695587274496,38.2314962,61.4173486
